NONHSAG000001 DDX11L1
NONHSAG011825 ENSG00000288941
NONHSAG011827 ENSG00000257729
NONHSAG011830 SLC6A15
NONHSAG011832 ENSG00000289218
NONHSAG011841 ENSG00000289369
NONHSAG011841 ENSG00000258185
NONHSAG011856 ENSG00000289384
NONHSAG011858 ENSG00000289174
NONHSAG011861 RP11-13A1.1
NONHSAG011865 POC1B
NONHSAG011868 NONHSAG011869
NONHSAG011868 ENSG00000279939
NONHSAG011869 NONHSAG011868
NONHSAG011869 ENSG00000279939
NONHSAG011870 NONHSAG011871
NONHSAG011870 ENSG00000270344
NONHSAG011870 ENSG00000258302
NONHSAG011870 RP11-734K2.4
NONHSAG011871 NONHSAG011870
NONHSAG011871 ENSG00000270344
NONHSAG011871 ENSG00000258302
NONHSAG011876 NONHSAG066542
NONHSAG011876 ENSG00000258216
NONHSAG011876 RP11-654D12.2
NONHSAG011878 ENSG00000258183
NONHSAG011879 ENSG00000286021
NONHSAG011880 ENSG00000288102
NONHSAG011888 ENSG00000258100
NONHSAG011889 ENSG00000289605
NONHSAG011891 ENSG00000257893
NONHSAG011892 ENSG00000257863
NONHSAG011893 ENSG00000257242
NONHSAG011894 ENSG00000245904
NONHSAG011896 ENSG00000277851
NONHSAG011898 ENSG00000205056
NONHSAG011898 ENSG00000257127
NONHSAG011898 ENSG00000266923
NONHSAG011902 ENSG00000257345
NONHSAG011905 NONHSAG011910
NONHSAG011905 NONHSAG011911
NONHSAG011905 NONHSAG011915
NONHSAG011905 ENSG00000257322
NONHSAG011905 ENSG00000257252
NONHSAG011908 ENSG00000257746
NONHSAG011910 ENSG00000257322
NONHSAG011910 NONHSAG011905
NONHSAG011910 ENSG00000257252
NONHSAG011911 ENSG00000257322
NONHSAG011911 NONHSAG011905
NONHSAG011911 ENSG00000257252
NONHSAG011915 NONHSAG011905
NONHSAG011915 ENSG00000257252
NONHSAG011931 ENSG00000258274
NONHSAG011933 NONHSAG011935
NONHSAG011933 CRADD
NONHSAG011935 NONHSAG011933
NONHSAG011935 NONHSAG011937
NONHSAG011935 ENSG00000258303
NONHSAG011935 CRADD
NONHSAG011937 ENSG00000258303
NONHSAG011937 NONHSAG011935
NONHSAG011937 CRADD
NONHSAG011938 ENSG00000257283
NONHSAG011939 ENSG00000271382
NONHSAG011940 ENSG00000257283
NONHSAG011941 ENSG00000258035
NONHSAG011943 ENSG00000258172
NONHSAG011944 ENSG00000258365
NONHSAG011949 ENSG00000278916
NONHSAG011957 NDUFA12
NONHSAG011960 FGD6
NONHSAG011974 NTN4
NONHSAG011975 NONHSAG011977
NONHSAG011975 NONHSAG011979
NONHSAG011975 CCDC38
NONHSAG011975 NONHSAG011978
NONHSAG011975 ENSG00000258343
NONHSAG011975 NTN4
NONHSAG011977 NONHSAG011975
NONHSAG011977 NTN4
NONHSAG011978 NONHSAG011979
NONHSAG011978 NONHSAG011975
NONHSAG011978 ENSG00000258343
NONHSAG011979 NONHSAG011975
NONHSAG011979 NONHSAG011978
NONHSAG011979 ENSG00000258343
NONHSAG011987 ENSG00000257878
NONHSAG011989 ENSG00000257878
NONHSAG011989 ENSG00000257715
NONHSAG011995 ENSG00000258177
NONHSAG011996 ELK3
NONHSAG012000 CDK17
NONHSAG012001 NONHSAG012002
NONHSAG012001 ENSG00000258272
NONHSAG012002 NONHSAG012001
NONHSAG012002 ENSG00000258272
NONHSAG012011 ENSG00000279190
NONHSAG012014 NONHSAG064962
NONHSAG012016 NONHSAG064962
NONHSAG012016 RMST
NONHSAG012019 ENSG00000258312
NONHSAG012033 SLC25A3
NONHSAG012041 ENSG00000257458
NONHSAG012043 ANKS1B
NONHSAG012044 ENSG00000258039
NONHSAG012045 ANKS1B
NONHSAG012050 ENSG00000280088
NONHSAG012050 UHRF1BP1L
NONHSAG012052 UHRF1BP1L
NONHSAG012057 DEPDC4
NONHSAG012066 ENSG00000257325
NONHSAG012067 ENSG00000258007
NONHSAG012069 ANO4
NONHSAG012073 ENSG00000257543
NONHSAG012077 ENSG00000257514
NONHSAG012084 GNPTAB
NONHSAG012087 ENSG00000257202
NONHSAG012089 DRAM1
NONHSAG012090 DRAM1
NONHSAG012092 ENSG00000258308
NONHSAG012093 DRAM1
NONHSAG012094 DRAM1
NONHSAG012095 ENSG00000257222
NONHSAG012099 ENSG00000281344
NONHSAG012101 ENSG00000281344
NONHSAG012103 ENSG00000281344
NONHSAG012103 ENSG00000283052
NONHSAG012104 ENSG00000281344
NONHSAG012104 ENSG00000283052
NONHSAG012110 PAH
NONHSAG012111 PAH
NONHSAG012114 NONHSAG012115
NONHSAG012114 ENSG00000257703
NONHSAG012115 NONHSAG012114
NONHSAG012115 ENSG00000257703
NONHSAG012116 ENSG00000257860
NONHSAG012123 ENSG00000257681
NONHSAG012135 HCFC2
NONHSAG012138 ENSG00000257193
NONHSAG012140 ENSG00000257732
NONHSAG012141 TXNRD1
NONHSAG012142 NONHSAG012143
NONHSAG012143 NONHSAG012142
NONHSAG012147 CHST11
NONHSAG012148 CHST11
NONHSAG012151 C12orf45
NONHSAG012168 CKAP4
NONHSAG012170 CKAP4
NONHSAG012171 CKAP4
NONHSAG012177 ENSG00000257711
NONHSAG012177 NONHSAG012178
NONHSAG012177 ENSG00000257545
NONHSAG012178 NONHSAG012177
NONHSAG012178 ENSG00000257711
NONHSAG012178 ENSG00000257918
NONHSAG012178 ENSG00000257545
NONHSAG012182 ENSG00000260329
NONHSAG012185 CRY1
NONHSAG012187 ENSG00000257548
NONHSAG012189 ENSG00000257579
NONHSAG012191 ENSG00000258136
NONHSAG012193 ENSG00000257398
NONHSAG012194 ENSG00000257398
NONHSAG012195 ENSG00000257398
NONHSAG012196 ENSG00000257398
NONHSAG012221 SSH1
NONHSAG012226 RP11-423G4.7
NONHSAG012226 SVOP
NONHSAG012228 SVOP
NONHSAG012235 ENSG00000256139
NONHSAG012235 ACACB
NONHSAG012240 ENSG00000255655
NONHSAG012244 MVK
NONHSAG012247 ENSG00000255650
NONHSAG012251 ENSG00000249094
NONHSAG012252 TCHP
NONHSAG012257 ENSG00000280426
NONHSAG012262 NONHSAG012263
NONHSAG012262 NONHSAG012264
NONHSAG012263 NONHSAG012262
NONHSAG012264 NONHSAG012262
NONHSAG012269 ENSG00000289311
NONHSAG012283 ENSG00000278993
NONHSAG012287 NONHSAG012288
NONHSAG012288 NONHSAG012287
NONHSAG012289 PPP1CC
NONHSAG012291 ENSG00000257268
NONHSAG012295 ENSG00000185847
NONHSAG012302 ENSG00000257595
NONHSAG012303 ATXN2
NONHSAG012304 ATXN2
NONHSAG012318 RP3-462E2.5
NONHSAG012318 MAPKAPK5
NONHSAG012324 TMEM116
NONHSAG012328 ENSG00000258323
NONHSAG012333 ENSG00000257494
NONHSAG012339 PTPN11
NONHSAG012341 RPH3A
NONHSAG012342 ENSG00000257452
NONHSAG012352 DDX54
NONHSAG012355 ENSG00000257286
NONHSAG012357 TPCN1
NONHSAG012375 ENSG00000257603
NONHSAG012375 RP11-100F15.1
NONHSAG012375 ENSG00000257997
NONHSAG012379 ENSG00000257476
NONHSAG012388 ENSG00000257817
NONHSAG012391 RP11-25E2.1
NONHSAG012396 ENSG00000257519
NONHSAG012399 ENSG00000271579
NONHSAG012399 RP11-116D17.3
NONHSAG012400 ENSG00000258108
NONHSAG012401 ENSG00000257407
NONHSAG012405 NONHSAG012406
NONHSAG012405 ENSG00000257781
NONHSAG012406 NONHSAG012405
NONHSAG012406 ENSG00000257781
NONHSAG012407 ENSG00000257683
NONHSAG012409 ENSG00000258034
NONHSAG012411 MED13L
NONHSAG012414 ENSG00000258337
NONHSAG012414 MED13L
NONHSAG012423 LINC00173
NONHSAG012423 RP11-809C9.2
NONHSAG012429 ENSG00000257654
NONHSAG012429 ENSG00000257883
NONHSAG012429 RP11-497G19.1
NONHSAG012433 HRK
NONHSAG012437 ENSG00000257279
NONHSAG012451 ENSG00000256071
NONHSAG012454 VSIG10
NONHSAG012459 ENSG00000270482
NONHSAG012465 ENSG00000255814
NONHSAG012466 ENSG00000256149
NONHSAG012470 NONHSAG012471
NONHSAG012470 SRRM4
NONHSAG012471 NONHSAG012470
NONHSAG012471 SRRM4
NONHSAG012472 ENSG00000257095
NONHSAG012474 SRRM4
NONHSAG012476 ENSG00000256884
NONHSAG012480 ENSG00000256311
NONHSAG012484 NONHSAG012486
NONHSAG012484 ENSG00000248636
NONHSAG012486 NONHSAG012484
NONHSAG012486 ENSG00000248636
NONHSAG012513 ENSG00000256695
NONHSAG012520 COQ5
NONHSAG012525 RNF10
NONHSAG012527 ENSG00000256008
NONHSAG012529 ENSG00000256364
NONHSAG012530 ENSG00000256569
NONHSAG012531 ENSG00000255946
NONHSAG012534 ENSG00000241388
NONHSAG012538 ENSG00000286248
NONHSAG012540 NONHSAG012543
NONHSAG012540 NONHSAG012546
NONHSAG012541 P2RX4
NONHSAG012543 NONHSAG012540
NONHSAG012546 NONHSAG012540
NONHSAG012547 ENSG00000258435
NONHSAG012549 ENSG00000256742
NONHSAG012556 NONHSAG065112
NONHSAG012556 ENSG00000272849
NONHSAG012562 ENSG00000255856
NONHSAG012566 ENSG00000256546
NONHSAG012566 AC156455.1
NONHSAG012580 KNTC1
NONHSAG012583 NONHSAG012584
NONHSAG012584 NONHSAG012583
NONHSAG012585 ENSG00000256249
NONHSAG012590 ENSG00000256152
NONHSAG012591 ENSG00000280138
NONHSAG012594 ENSG00000256028
NONHSAG012594 RP11-197N18.2
NONHSAG012599 ENSG00000280120
NONHSAG012599 MPHOSPH9
NONHSAG012608 ENSG00000256092
NONHSAG012614 RP11-486O12.2
NONHSAG012614 ENSG00000247373
NONHSAG012617 ENSG00000255839
NONHSAG012618 ENSG00000286092
NONHSAG012619 ENSG00000286092
NONHSAG012624 ENSG00000250091
NONHSAG012624 CCDC92
NONHSAG012625 CCDC92
NONHSAG012626 CCDC92
NONHSAG012627 CCDC92
NONHSAG012628 ENSG00000269997
NONHSAG012628 CCDC92
NONHSAG012629 CCDC92
NONHSAG012630 CCDC92
NONHSAG012632 NONHSAG012634
NONHSAG012632 RP11-214K3.24
NONHSAG012632 NONHSAG012637
NONHSAG012632 ENSG00000256596
NONHSAG012632 NONHSAG012635
NONHSAG012632 ENSG00000274874
NONHSAG012634 NONHSAG012632
NONHSAG012634 ENSG00000274874
NONHSAG012635 RP11-214K3.24
NONHSAG012635 NONHSAG012632
NONHSAG012637 ENSG00000256596
NONHSAG012637 NONHSAG012632
NONHSAG012640 NCOR2
NONHSAG012643 NCOR2
NONHSAG012645 ENSG00000214650
NONHSAG012646 NCOR2
NONHSAG012666 TMEM132B
NONHSAG012669 TMEM132B
NONHSAG012672 ENSG00000275212
NONHSAG012673 ENSG00000275212
NONHSAG012675 ENSG00000280272
NONHSAG012677 ENSG00000286386
NONHSAG012681 ENSG00000255595
NONHSAG012682 ENSG00000255595
NONHSAG012683 RP5-944M2.1
NONHSAG012684 RP5-944M2.3
NONHSAG012684 ENSG00000255595
NONHSAG012691 ENSG00000255944
NONHSAG012691 ENSG00000256732
NONHSAG012693 ENSG00000255998
NONHSAG012697 ENSG00000256286
NONHSAG012703 ENSG00000278266
NONHSAG012703 ENSG00000286791
NONHSAG012704 ENSG00000256001
NONHSAG012705 ENSG00000287339
NONHSAG012706 ENSG00000286791
NONHSAG012706 ENSG00000286016
NONHSAG012708 ENSG00000256292
NONHSAG012711 ENSG00000286922
NONHSAG012715 ENSG00000286662
NONHSAG012716 ENSG00000286662
NONHSAG012724 ENSG00000276487
NONHSAG012725 ENSG00000257025
NONHSAG012727 ENSG00000279500
NONHSAG012727 SLC15A4
NONHSAG012736 ENSG00000256137
NONHSAG012739 ENSG00000251536
NONHSAG012741 ENSG00000261650
NONHSAG012744 ENSG00000256906
NONHSAG012747 ENSG00000259862
NONHSAG012751 ENSG00000279905
NONHSAG012755 ENSG00000256343
NONHSAG012761 ENSG00000280200
NONHSAG012764 ENSG00000279993
NONHSAG012765 ENSG00000256810
NONHSAG012770 ENSG00000256484
NONHSAG012773 NONHSAG012774
NONHSAG012773 ENSG00000279388
NONHSAG012773 ENSG00000256209
NONHSAG012774 ENSG00000279388
NONHSAG012774 NONHSAG012773
NONHSAG012774 ENSG00000256209
NONHSAG012777 ENSG00000256424
NONHSAG012780 ENSG00000255933
NONHSAG012787 ENSG00000256955
NONHSAG012791 ENSG00000255992
NONHSAG012792 ENSG00000257000
NONHSAG012799 ENSG00000256576
NONHSAG012800 ENSG00000256312
NONHSAG012802 ENSG00000256943
NONHSAG012802 ENSG00000256542
NONHSAG012802 ENSG00000277011
NONHSAG012803 ENSG00000255916
NONHSAG012805 ENSG00000256783
NONHSAG012823 CHFR
NONHSAG012824 CHFR
NONHSAG012827 ENSG00000236617
NONHSAG012829 CHFR
NONHSAG012832 CHFR
NONHSAG012834 RP11-46H11.3
NONHSAG012839 ENSG00000289516
NONHSAG012843 ENSG00000246394
NONHSAG012847 ENSG00000271963
NONHSAG012850 ZNF268
NONHSAG012855 ENSG00000231238
NONHSAG012862 ENSG00000231914
NONHSAG012872 NONHSAG012874
NONHSAG012873 ENSG00000231358
NONHSAG012874 NONHSAG012872
NONHSAG012881 ENSG00000287861
NONHSAG012892 ENSG00000229791
NONHSAG012896 NONHSAG012897
NONHSAG012897 NONHSAG012896
NONHSAG012902 ENSG00000226352
NONHSAG012907 ENSG00000223576
NONHSAG012910 ZMYM2
NONHSAG012912 NONHSAG012914
NONHSAG012912 ZMYM2
NONHSAG012914 NONHSAG012912
NONHSAG012914 ZMYM2
NONHSAG012929 ENSG00000278291
NONHSAG012930 IL17D
NONHSAG012938 ENSG00000233851
NONHSAG012945 NONHSAG012946
NONHSAG012945 RP11-101P17.11
NONHSAG012946 RP11-101P17.11
NONHSAG012946 NONHSAG012945
NONHSAG012947 NONHSAG012952
NONHSAG012947 NONHSAG012954
NONHSAG012947 NONHSAG012957
NONHSAG012950 ZDHHC20
NONHSAG012951 ZDHHC20
NONHSAG012952 NONHSAG012947
NONHSAG012953 NONHSAG012956
NONHSAG012953 ENSG00000236953
NONHSAG012953 ZDHHC20
NONHSAG012954 NONHSAG012947
NONHSAG012956 ENSG00000236953
NONHSAG012956 NONHSAG012953
NONHSAG012956 ZDHHC20
NONHSAG012957 NONHSAG012947
NONHSAG012985 ENSG00000262619
NONHSAG012985 LINC00621
NONHSAG012986 ENSG00000262198
NONHSAG012999 ENSG00000227893
NONHSAG013000 NONHSAG013002
NONHSAG013000 ENSG00000289688
NONHSAG013002 NONHSAG013000
NONHSAG013002 ENSG00000289688
NONHSAG013005 ENSG00000205861
NONHSAG013008 ENSG00000287530
NONHSAG013009 ENSG00000228741
NONHSAG013009 SPATA13
NONHSAG013013 ENSG00000240868
NONHSAG013016 NONHSAG013017
NONHSAG013017 NONHSAG013016
NONHSAG013019 NONHSAG013020
NONHSAG013019 NONHSAG013023
NONHSAG013019 ENSG00000243008
NONHSAG013019 ENSG00000288103
NONHSAG013020 NONHSAG013019
NONHSAG013023 ENSG00000243008
NONHSAG013023 NONHSAG013019
NONHSAG013027 ENSG00000285806
NONHSAG013029 ENSG00000287887
NONHSAG013053 NONHSAG013055
NONHSAG013055 NONHSAG013053
NONHSAG013060 NONHSAG013061
NONHSAG013061 NONHSAG013060
NONHSAG013064 ENSG00000237001
NONHSAG013078 SNORA27
NONHSAG013078 SNORD102
NONHSAG013122 ENSG00000236758
NONHSAG013125 ENSG00000179141
NONHSAG013139 ENSG00000122043
NONHSAG013143 ENSG00000232117
NONHSAG013144 ENSG00000232643
NONHSAG013145 KATNAL1
NONHSAG013148 ENSG00000236463
NONHSAG013151 ENSG00000289302
NONHSAG013154 HMGB1
NONHSAG013156 NONHSAG013157
NONHSAG013156 HMGB1
NONHSAG013157 NONHSAG013156
NONHSAG013157 HMGB1
NONHSAG013165 ENSG00000238185
NONHSAG013167 ENSG00000286286
NONHSAG013172 ENSG00000278305
NONHSAG013173 ENSG00000278305
NONHSAG013183 ENSG00000270008
NONHSAG013194 ENSG00000230300
NONHSAG013195 ENSG00000236581
NONHSAG013198 ENSG00000285621
NONHSAG013199 ENSG00000230490
NONHSAG013202 ENSG00000232986
NONHSAG013209 NONHSAG067447
NONHSAG013209 ENSG00000271901
NONHSAG013213 ENSG00000261728
NONHSAG013216 NBEA
NONHSAG013217 NBEA
NONHSAG013221 DCLK1
NONHSAG013224 CCDC169
NONHSAG013236 SMAD9
NONHSAG013245 EXOSC8
NONHSAG013249 ENSG00000279511
NONHSAG013258 ENSG00000287477
NONHSAG013259 NONHSAG013260
NONHSAG013259 ENSG00000274317
NONHSAG013260 NONHSAG013259
NONHSAG013260 ENSG00000274317
NONHSAG013271 NONHSAG067963
NONHSAG013273 NONHSAG067963
NONHSAG013282 ENSG00000273507
NONHSAG013289 LHFP
NONHSAG013310 ENSG00000287837
NONHSAG013310 CYCSP34
NONHSAG013319 NONHSAG013322
NONHSAG013319 ENSG00000278390
NONHSAG013319 AL354696.2
NONHSAG013322 NONHSAG013319
NONHSAG013322 ENSG00000278390
NONHSAG013322 AL354696.2
NONHSAG013330 RGCC
NONHSAG013333 ENSG00000288600
NONHSAG013343 DGKH
NONHSAG013345 NONHSAG013347
NONHSAG013345 ENSG00000283554
NONHSAG013347 NONHSAG013345
NONHSAG013347 ENSG00000283554
NONHSAG013369 ENSG00000287029
NONHSAG013371 ENSG00000233725
NONHSAG013374 ENSG00000226519
NONHSAG013375 NONHSAG013378
NONHSAG013376 ENSG00000226519
NONHSAG013378 NONHSAG013375
NONHSAG013380 ENSG00000230731
NONHSAG013390 TSC22D1
NONHSAG013393 ENSG00000278156
NONHSAG013395 ENSG00000278156
NONHSAG013395 ENSG00000237585
NONHSAG013397 ENSG00000223732
NONHSAG013401 NONHSAG013403
NONHSAG013403 NONHSAG013401
NONHSAG013406 GTF2F2
NONHSAG013412 SNORA31
NONHSAG013413 NONHSAG013414
NONHSAG013413 NONHSAG013416
NONHSAG013414 NONHSAG013413
NONHSAG013416 NONHSAG013413
NONHSAG013435 LCP1
NONHSAG013440 NONHSAG013441
NONHSAG013440 NONHSAG013443
NONHSAG013441 NONHSAG013440
NONHSAG013443 NONHSAG013440
NONHSAG013444 ENSG00000102445
NONHSAG013447 ENSG00000277228
NONHSAG013448 ENSG00000277228
NONHSAG013453 NONHSAG013455
NONHSAG013455 NONHSAG013453
NONHSAG013464 SUCLA2
NONHSAG013467 ENSG00000228573
NONHSAG013467 NONHSAG013468
NONHSAG013467 LINC00444
NONHSAG013467 SUCLA2
NONHSAG013468 NONHSAG013467
NONHSAG013468 SUCLA2
NONHSAG013472 ENSG00000227848
NONHSAG013475 ENSG00000231473
NONHSAG013478 LPAR6
NONHSAG013482 ENSG00000287599
NONHSAG013488 ENSG00000275202
NONHSAG013490 ENSG00000288743
NONHSAG013492 ENSG00000288743
NONHSAG013496 CAB39L
NONHSAG013515 SPRYD7
NONHSAG013524 NONHSAG013525
NONHSAG013524 ENSG00000274270
NONHSAG013524 ENSG00000176124
NONHSAG013525 ENSG00000274270
NONHSAG013525 NONHSAG013524
NONHSAG013525 ENSG00000176124
NONHSAG013527 ENSG00000286191
NONHSAG013533 ENSG00000176124
NONHSAG013534 ENSG00000176124
NONHSAG013536 RNASEH2B
NONHSAG013548 INTS6
NONHSAG013549 NONHSAG013550
NONHSAG013549 INTS6
NONHSAG013550 NONHSAG013549
NONHSAG013550 INTS6
NONHSAG013559 WDFY2
NONHSAG013563 ENSG00000231856
NONHSAG013569 THSD1P1
NONHSAG013569 ENSG00000217576
NONHSAG013576 CKAP2
NONHSAG013582 ENSG00000273784
NONHSAG013591 ENSG00000287722
NONHSAG013592 ENSG00000273919
NONHSAG013592 ENSG00000287722
NONHSAG013592 ENSG00000288768
NONHSAG013593 ENSG00000287722
NONHSAG013599 ENSG00000287460
NONHSAG013601 ENSG00000277047
NONHSAG013602 ENSG00000278630
NONHSAG013607 ENSG00000274090
NONHSAG013608 ENSG00000274090
NONHSAG013611 NONHSAG013612
NONHSAG013612 NONHSAG013611
NONHSAG013627 ENSG00000278722
NONHSAG013630 ENSG00000232954
NONHSAG013652 NONHSAG013653
NONHSAG013653 NONHSAG013652
NONHSAG013655 ENSG00000227510
NONHSAG013668 ENSG00000286469
NONHSAG013676 ENSG00000273550
NONHSAG013683 ENSG00000285764
NONHSAG013684 ENSG00000285764
NONHSAG013688 RP11-394A14.4
NONHSAG013688 NFYAP1
NONHSAG013688 RP11-394A14.2
NONHSAG013688 ENSG00000227674
NONHSAG013694 ENSG00000234767
NONHSAG013696 ENSG00000286395
NONHSAG013696 ENSG00000234767
NONHSAG013700 ENSG00000234527
NONHSAG013711 ENSG00000287876
NONHSAG013713 ENSG00000286820
NONHSAG013724 RP11-459J23.1
NONHSAG013735 ENSG00000276644
NONHSAG013737 ENSG00000276644
NONHSAG013751 PIBF1
NONHSAG013753 PIBF1
NONHSAG013760 ENSG00000224853
NONHSAG013764 ENSG00000280348
NONHSAG013770 ENSG00000286330
NONHSAG013770 ENSG00000235532
NONHSAG013772 ENSG00000235532
NONHSAG013772 ENSG00000281167
NONHSAG013784 COMMD6
NONHSAG013786 NONHSAG013787
NONHSAG013786 NONHSAG013788
NONHSAG013786 NONHSAG013789
NONHSAG013787 NONHSAG013786
NONHSAG013788 NONHSAG013786
NONHSAG013789 NONHSAG013786
NONHSAG013790 ENSG00000261553
NONHSAG013790 LMO7
NONHSAG013790 RP11-29G8.3
NONHSAG013795 ENSG00000178734
NONHSAG013796 ENSG00000261206
NONHSAG013801 ENSG00000285572
NONHSAG013802 ENSG00000287018
NONHSAG013808 NONHSAG013810
NONHSAG013809 MYCBP2
NONHSAG013810 NONHSAG013808
NONHSAG013824 NONHSAG013825
NONHSAG013824 ENSG00000234377
NONHSAG013825 NONHSAG013835
NONHSAG013825 ENSG00000271776
NONHSAG013825 NONHSAG013824
NONHSAG013825 NONHSAG013829
NONHSAG013825 ENSG00000234377
NONHSAG013827 ENSG00000233379
NONHSAG013829 NONHSAG013825
NONHSAG013829 ENSG00000234377
NONHSAG013830 ENSG00000235625
NONHSAG013835 ENSG00000271776
NONHSAG013835 NONHSAG013825
NONHSAG013835 ENSG00000234377
NONHSAG013844 RBM26
NONHSAG013845 RBM26
NONHSAG013853 ENSG00000285902
NONHSAG013863 ENSG00000286746
NONHSAG013868 ENSG00000229309
NONHSAG013871 NONHSAG013876
NONHSAG013871 ENSG00000286446
NONHSAG013871 ENSG00000286385
NONHSAG013876 ENSG00000286446
NONHSAG013876 NONHSAG013871
NONHSAG013888 ENSG00000288038
NONHSAG013889 ENSG00000286906
NONHSAG013906 NONHSAG013908
NONHSAG013906 ENSG00000232636
NONHSAG013906 MIR4500HG
NONHSAG013908 NONHSAG013906
NONHSAG013908 MIR4500HG
NONHSAG013912 ENSG00000272046
NONHSAG013917 ENSG00000231019
NONHSAG013921 ENSG00000261666
NONHSAG013923 ENSG00000288552
NONHSAG013932 ENSG00000271395
NONHSAG013944 ENSG00000234625
NONHSAG013950 GPC5
NONHSAG013954 ENSG00000236240
NONHSAG013954 GPC5
NONHSAG013957 ENSG00000278177
NONHSAG013969 ENSG00000238230
NONHSAG013970 ENSG00000238230
NONHSAG013971 ENSG00000238230
NONHSAG013979 ABCC4
NONHSAG013982 ABCC4
NONHSAG013988 ENSG00000223392
NONHSAG013992 ENSG00000247400
NONHSAG013997 UGGT2
NONHSAG013998 UGGT2
NONHSAG014000 UGGT2
NONHSAG014006 NONHSAG014008
NONHSAG014007 ENSG00000272329
NONHSAG014008 NONHSAG014006
NONHSAG014013 ENSG00000286334
NONHSAG014016 ENSG00000286544
NONHSAG014021 NONHSAG014023
NONHSAG014021 FARP1
NONHSAG014023 NONHSAG014021
NONHSAG014023 FARP1
NONHSAG014030 FARP1
NONHSAG014037 ENSG00000224418
NONHSAG014043 DOCK9
NONHSAG014044 ENSG00000260992
NONHSAG014049 UBAC2
NONHSAG014050 UBAC2
NONHSAG014051 UBAC2
NONHSAG014052 UBAC2
NONHSAG014053 UBAC2
NONHSAG014055 UBAC2
NONHSAG014057 LINC00449
NONHSAG014061 CFL1P8
NONHSAG014067 ENSG00000286757
NONHSAG014073 NONHSAG014074
NONHSAG014073 ENSG00000274605
NONHSAG014074 NONHSAG014073
NONHSAG014074 ENSG00000274605
NONHSAG014079 ENSG00000224356
NONHSAG014080 TMTC4
NONHSAG014089 NONHSAG014091
NONHSAG014089 ENSG00000276012
NONHSAG014089 RP11-397O8.7
NONHSAG014089 ITGBL1
NONHSAG014090 FGF14
NONHSAG014091 ENSG00000276012
NONHSAG014091 RP11-397O8.7
NONHSAG014091 NONHSAG014089
NONHSAG014091 ITGBL1
NONHSAG014092 FGF14
NONHSAG014096 RP11-811P12.3
NONHSAG014096 FGF14
NONHSAG014101 TPP2
NONHSAG014102 TPP2
NONHSAG014104 ENSG00000286312
NONHSAG014109 BIVM
NONHSAG014130 ENSG00000233532
NONHSAG014132 NONHSAG014133
NONHSAG014133 NONHSAG014132
NONHSAG014149 ENSG00000236242
NONHSAG014152 ENSG00000275216
NONHSAG014152 ENSG00000223617
NONHSAG014153 ENSG00000236053
NONHSAG014162 ENSG00000275741
NONHSAG014166 ENSG00000275830
NONHSAG014172 ENSG00000279237
NONHSAG014172 COL4A1
NONHSAG014175 ENSG00000224821
NONHSAG014185 ENSG00000259831
NONHSAG014189 ENSG00000229152
NONHSAG014189 ANKRD10
NONHSAG014194 ENSG00000286824
NONHSAG014197 ENSG00000233644
NONHSAG014197 ARHGEF7
NONHSAG014198 ENSG00000285856
NONHSAG014202 ARHGEF7
NONHSAG014203 ARHGEF7
NONHSAG014208 NONHSAG014209
NONHSAG014208 ENSG00000215881
NONHSAG014208 ENSG00000204398
NONHSAG014209 NONHSAG014208
NONHSAG014209 ENSG00000215881
NONHSAG014209 ENSG00000204398
NONHSAG014214 NONHSAG014215
NONHSAG014215 SNORD44
NONHSAG014215 NONHSAG014214
NONHSAG014215 NONHSAG014216
NONHSAG014216 NONHSAG014215
NONHSAG014217 ENSG00000229520
NONHSAG014225 ENSG00000260343
NONHSAG014232 ENSG00000274922
NONHSAG014238 ATP11A
NONHSAG014240 ATP11A
NONHSAG014245 ATP11A
NONHSAG014247 RP11-120K24.3
NONHSAG014247 ENSG00000235280
NONHSAG014247 MCF2L-AS1
NONHSAG014248 ENSG00000269356
NONHSAG014248 MCF2L
NONHSAG014249 MCF2L
NONHSAG014250 MCF2L
NONHSAG014257 F10
NONHSAG014258 ENSG00000283828
NONHSAG014259 RP11-98F14.11
NONHSAG014267 LAMP1
NONHSAG014274 ENSG00000233613
NONHSAG014277 ENSG00000276248
NONHSAG014277 TMCO3
NONHSAG014278 TMCO3
NONHSAG014280 ENSG00000198176
NONHSAG014280 TFDP1
NONHSAG014292 ENSG00000272695
NONHSAG014294 ENSG00000226921
NONHSAG014295 ENSG00000274766
NONHSAG014296 ENSG00000229373
NONHSAG014296 ENSG00000274766
NONHSAG014300 ENSG00000232487
NONHSAG014312 ENSG00000257959
NONHSAG014316 NONHSAG014317
NONHSAG014316 ENSG00000258364
NONHSAG014317 ENSG00000258364
NONHSAG014317 NONHSAG014316
NONHSAG014323 ENSG00000257891
NONHSAG014327 ENSG00000258314
NONHSAG014330 ENSG00000225210
NONHSAG014332 DUXAP10
NONHSAG014332 RP11-496I2.4
NONHSAG014332 NONHSAG014338
NONHSAG014332 ENSG00000277128
NONHSAG014332 RP11-146E13.4
NONHSAG014338 DUXAP10
NONHSAG014338 NONHSAG014339
NONHSAG014338 NONHSAG014332
NONHSAG014339 DUXAP10
NONHSAG014339 NONHSAG014338
NONHSAG014341 ENSG00000274827
NONHSAG014345 NONHSAG014346
NONHSAG014345 RP11-244H18.3
NONHSAG014346 RP11-244H18.3
NONHSAG014346 NONHSAG014345
